time,open,high,low,close,rsi
1702265700000,1.35997,1.36,1.3595,1.3596,50.0
1702266000000,1.35988,1.36001,1.3596,1.35989,49.246231155779846
1702266300000,1.3599,1.35998,1.3596,1.35993,50.0
1702266600000,1.35994,1.35998,1.3597,1.35994,56.66666666666543
1702266900000,1.35992,1.35998,1.3597,1.35996,57.14285714285888
1702267200000,1.3599,1.36011,1.3597,1.36004,57.60869565216827
1702267500000,1.36006,1.36012,1.3598,1.36011,61.08108108108088
1702267800000,1.3601,1.36021,1.3599,1.36014,57.894736842104585
1702268100000,1.36017,1.36022,1.3599,1.36016,69.17808219178166
1702268400000,1.3601,1.3604,1.3599,1.3603,64.00000000000071
1702268700000,1.3603,1.36033,1.3599,1.3601,58.823529411763744
1702269000000,1.36016,1.36026,1.3599,1.3602,62.06896551724244
1702269300000,1.36023,1.36029,1.36,1.3601,69.23076923077448
1702269600000,1.3602,1.3603,1.3599,1.3602,69.23076923077448
1702269900000,1.36018,1.36033,1.3599,1.3602,75.00000000000463
1702270200000,1.36019,1.36025,1.3599,1.36024,68.42105263157526
1702270500000,1.3601,1.36025,1.3599,1.36016,61.616161616163886
1702270800000,1.36015,1.36026,1.3599,1.36012,58.82352941176983
1702271100000,1.36014,1.3602,1.3599,1.36012,57.99999999999955
1702271400000,1.36014,1.36027,1.3599,1.36023,59.223300970881525
1702271700000,1.36024,1.36034,1.36,1.36029,58.82352941176983
1702272000000,1.3603,1.36035,1.36,1.36035,60.00000000000423
1702272300000,1.36035,1.3605,1.36,1.36022,52.5862068965504
1702272600000,1.36025,1.36025,1.3598,1.35999,37.59999999999404
1702272900000,1.36,1.36015,1.3597,1.36006,48.214285714283236
1702273200000,1.36006,1.36009,1.3597,1.35993,38.26086956521303
1702273500000,1.35992,1.36002,1.3596,1.3596,31.884057971004694
1702273800000,1.35983,1.35991,1.3595,1.35989,40.127388535029866
1702274100000,1.35988,1.35989,1.3593,1.35959,33.68983957219092
1702274400000,1.35963,1.35965,1.3592,1.3595,30.729166666669073
1702274700000,1.3593,1.35951,1.3591,1.35941,30.56994818652987
1702275000000,1.3594,1.3596,1.3592,1.3594,31.052631578948294
1702275300000,1.35939,1.35946,1.359,1.35917,27.699530516433725
1702275600000,1.35924,1.35931,1.3589,1.35925,26.666666666669485
1702275900000,1.35926,1.3593,1.3588,1.35903,22.123893805313486
1702276200000,1.35904,1.3593,1.3588,1.35928,28.16326530612892
1702276500000,1.35926,1.3593,1.3589,1.35919,28.63070539419519
1702276800000,1.3592,1.35934,1.3589,1.3591,30.39647577092954
1702277100000,1.3593,1.35955,1.3591,1.3595,39.23076923076949
1702277400000,1.3595,1.35952,1.3592,1.35947,40.79999999999971
1702277700000,1.35945,1.3595,1.3588,1.35905,39.38223938224398
1702278000000,1.35903,1.35927,1.3587,1.35899,30.932203389830832
1702278300000,1.359,1.359,1.3581,1.3582,25.61403508772132
1702278600000,1.35847,1.3585,1.358,1.3583,29.020979020981954
1702278900000,1.35835,1.35851,1.358,1.3584,32.40418118467069
1702279200000,1.35847,1.35858,1.3582,1.3583,31.41891891892142
1702279500000,1.35853,1.35872,1.3583,1.35872,42.857142857141845
1702279800000,1.35874,1.35899,1.3583,1.35885,43.74999999999696
1702280100000,1.35881,1.35901,1.3584,1.35872,45.01607717041705
1702280400000,1.35873,1.35916,1.3584,1.35904,46.22641509433903
1702280700000,1.359,1.35916,1.3586,1.35913,49.056603773585564
1702281000000,1.35908,1.35935,1.3588,1.35929,52.923076923079215
1702281300000,1.3593,1.35945,1.359,1.35918,44.594594594596416
1702281600000,1.35916,1.35919,1.358,1.35826,34.285714285714775
1702281900000,1.35829,1.35841,1.3579,1.35835,40.05681818181603
1702282200000,1.35836,1.35885,1.3579,1.3588,47.57033248081945
1702282500000,1.35876,1.35913,1.3585,1.3586,56.02409638554152
1702282800000,1.3589,1.35908,1.3584,1.3588,57.30994152046708
1702283100000,1.35872,1.35914,1.3585,1.35898,58.285714285714505
1702283400000,1.35905,1.3593,1.3587,1.359,60.23391812865391
1702283700000,1.35902,1.35935,1.3586,1.35909,55.98705501618086
1702284000000,1.35907,1.35952,1.3589,1.35931,57.2327044025173
1702284300000,1.35943,1.3595,1.359,1.35927,58.8996763754046
1702284600000,1.35932,1.35947,1.359,1.35942,56.506849315068735
1702284900000,1.35943,1.35978,1.3592,1.35957,57.382550335569896
1702285200000,1.35956,1.35984,1.3592,1.35952,54.00696864111426
1702285500000,1.35957,1.35957,1.359,1.35932,52.36486486486548
1702285800000,1.35929,1.35974,1.3591,1.35967,79.49790794979302
1702286100000,1.35967,1.35985,1.3592,1.35947,72.40000000000266
1702286400000,1.35947,1.3595,1.3587,1.35884,50.74626865671728
1702286700000,1.35882,1.35895,1.3584,1.3587,51.90839694656495
1702287000000,1.35863,1.35893,1.3584,1.35889,51.724137931033304
1702287300000,1.3588,1.35912,1.3585,1.35885,47.36842105262732
1702287600000,1.35885,1.35905,1.3584,1.35895,49.019607843139475
1702287900000,1.35896,1.35911,1.3586,1.35903,48.81889763779618
1702288200000,1.35904,1.35935,1.3588,1.35934,50.57034220532278
1702288500000,1.35929,1.35946,1.3588,1.35926,49.81273408239576
1702288800000,1.35927,1.35935,1.3589,1.35923,46.274509803918356
1702289100000,1.3592,1.35959,1.359,1.35932,44.9799196787174
1702289400000,1.35933,1.35937,1.3589,1.35913,42.58555133079672
1702289700000,1.35914,1.35917,1.3585,1.3588,40.579710144926494
1702290000000,1.35891,1.3591,1.3586,1.35896,36.18677042801677
1702290300000,1.35897,1.35924,1.3587,1.3592,44.827586206897145
1702290600000,1.35922,1.35932,1.3588,1.359,53.669724770640286
1702290900000,1.35924,1.35936,1.3589,1.35932,63.13559322033834
1702291200000,1.35931,1.35934,1.3589,1.35919,56.52173913043226
1702291500000,1.35913,1.35939,1.3589,1.35928,59.148936170213126
1702291800000,1.35927,1.35957,1.359,1.35957,62.20472440944365
1702292100000,1.35954,1.35964,1.3592,1.3594,57.0342205323175
1702292400000,1.35944,1.35966,1.3592,1.3594,51.293103448274465
1702292700000,1.35964,1.35988,1.3593,1.35971,58.8235294117642
1702293000000,1.3597,1.35974,1.3592,1.3592,49.50495049505001
1702293300000,1.35949,1.35987,1.3592,1.35978,56.53409090908879
1702293600000,1.35981,1.3599,1.3595,1.35975,59.22619047619075
1702293900000,1.35974,1.35977,1.3594,1.35964,63.37579617834163
1702294200000,1.35965,1.35966,1.3592,1.35956,59.803921568629086
1702294500000,1.35953,1.35953,1.359,1.35943,53.898305084744365
1702294800000,1.35944,1.35947,1.3589,1.35928,54.827586206896974
1702295100000,1.35925,1.35967,1.359,1.35959,54.67128027681603
1702295400000,1.35955,1.35962,1.359,1.35926,51.132686084142534
1702295700000,1.35927,1.35929,1.3589,1.35916,48.06451612903039
1702296000000,1.35917,1.35917,1.3586,1.35874,37.15170278637973
